나9241-482,경기컨설팅부동산중개사무소,경기도 수원시 권선구 세지로4번길 3 (세류동),양주섭
나3681-91,송은부동산중개인영업소,경기도 수원시 팔달구 창룡대로 73 (매향동),정옥선
나3681-256,유신부동산중개인영업소,경기도 수원시 팔달구 세지로 325 (지동),신영수
나3681-232,예일부동산중개사무소,경기도 수원시 팔달구 향교로 143 (교동),주영식
나3681-218,화성부동산중개인사무소,경기도 수원시 팔달구 행궁로 53-3 (남창동),문충남
나3681-195,유성부동산중개인사무소,경기도 수원시 팔달구 팔달문로 111 (지동),이보영
나3681-187,김원식공인중개사사무소,경기도 수원시 팔달구 경수대로480번길 8 2층 (인계동),김원식
나3681-177,동아부동산중개인사무소,경기도 수원시 팔달구 정조로758번길 5 4층 일부(팔달로3가),정장수
나3681-164,대명공인중개사사무소,경기도 수원시 영통구 산남로 89 ::: 1층(매탄동),문기용
나3681-160,미성부동산 공인중개사사무소,경기도 수원시 영통구 인계로220번길 20 (매탄동),양명숙
나3680-705,현보부동산중개인사무소,경기도 수원시 권선구 세지로66번길 25-25 (권선동),신현보
나3680-669,평택부동산중개사무소,경기도 수원시 팔달구 매산로151번길 5 (중동),김문환
나3680-663,평화부동산중개사무소,경기도 수원시 팔달구 갓매산로86번길 16 (고등동),박웅준
나3680-627,제일신용부동산중개사무소,경기도 수원시 권선구 정조로 431-2 (세류동),양홍석
나3680-588,아람공인중개사사무소,경기도 수원시 권선구 세지로 99 (세류동),김주영
나3680-565,공인중개사전성원사무소,경기도 수원시 권선구 세지로94번길 37 (권선동),전성원
나3680-562,동서부동산중개인사무소,경기도 수원시 권선구 권선로694번길 9 (권선동),이제상
나3680-548,거산부동산중개인사무소,경기도 수원시 팔달구 정조로 852 (북수동),김진규
나3680-547,세류부동산,경기도 수원시 권선구 정조로454번길 2 (세류동),박영복
나3680-519,귀빈부동산중개인사무소,경기도 수원시 권선구 삼천병마로1598번길 16 1층(오목천동),최진수
나3680-512,한솔부동산중개사무소,경기도 수원시 권선구 매송고색로711번길 11-2 (고색동),이정순
나3680-505,대성부동산중개,경기도 수원시 권선구 세지로27번길 1 (세류동),김무순
나3678-6,기쁨 공인중개사사무소,경기도 수원시 장안구 경수대로973번길 21 (송죽동),주계임
나3678-407,금성부동산중개인사무소,경기도 수원시 팔달구 화양로 3 (화서동),이규용
나3678-397,동구 공인중개사사무소,경기도 수원시 장안구 수성로289번길 43 (정자동),이정선
나3678-376,성대부동산중개사무소,경기도 수원시 장안구 서부로2181번길 40 (율전동),신정희
나3678-369,경일부동산중개인사무소,경기도 수원시 장안구 팔달로 308 (영화동),한문부
나3678-356,태양부동산중개인사무소,경기도 수원시 팔달구 동말로48번길 6,김치국
나3678-349,훈부동산중개인사무소,경기도 수원시 팔달구 동말로77번길 21 (화서동),이찬훈
나3678-333,한진부동산중개인사무소,경기도 수원시 장안구 연무로 25 (연무동),이정진
나3678-324,제일부동산중개사무소,경기도 수원시 장안구 수성로258번길 45 (영화동),김차랑
나3678-303,대진부동산중개인사무소,경기도 수원시 장안구 영화로26번길 15 (영화동),김애자
나3678-30,허동숙 공인중개사사무소,경기도 수원시 장안구 파장로68번길 14 (파장동),허동숙
나3678-296,중앙부동산중개사무소,경기도 수원시 장안구 영화로85번길 1 (정자동),김경수
나3678-282,OK 부동산중개사무소,경기도 수원시 장안구 파장로100번길 3 (파장동),김학문
나3678-262,수원부동산중개사무소,경기도 수원시 장안구 경수대로973번길 13-3 (송죽동),한상길
나3678-249,보람부동산중개인사무소,경기도 수원시 팔달구 화양로24번길 19 (화서동),노숙자
나3678-241,대운부동산중개인사무소,경기도 수원시 장안구 서부로 2129-1 (율전동),곽효수
나3678-228,우리부동산중개인사무소,경기도 수원시 팔달구 동말로 56 (화서동),이종춘
나3678-222,삼거리부동산 중개인사무소,경기도 수원시 장안구 파장로46번길 3 (파장동),이용은
나3678-211,용인부동산(합동)중개사무소,경기도 수원시 장안구 정조로 976 (조원동),박만원
나3678-157,남양부동산중개인사무소,경기도 수원시 장안구 장안로41번길 31 (영화동),김학은
가9228-2530,삼성공인중개사사무소,경기도 수원시 권선구 오목천로57번길 10-21 105호 (오목천동),조희복
가3691-0877,LBA부동산가이드공인중개사사무소,경기도 수원시 권선구 매송고색로 753 (고색동),주민철
가3682-980,강산공인중개사사무소,경기도 수원시 영통구 영일로 28 (영통동),이미영
가3682-969,피터팬공인중개사사무소,경기도 수원시 영통구 삼성로277번길 41-5 (원천동),진영섭
가3682-935,엘리트공인중개사사무소,경기도 수원시 영통구 인계로 260 ::: 104호(매탄동::: 우영프라자),최재호
가3682-924,뱅크부동산공인중개사사무소,경기도 수원시 영통구 효원로 363 상가A동 120호 (매탄동),양승신
가3682-911,YES공인중개사사무소,경기도 수원시 영통구 삼성로277번길 29-3 (원천동),이은미
가3682-897,뉴OK공인중개사사무소,경기도 수원시 영통구 덕영대로1499번길 75 2층 일부 (망포동),최선희
가3682-893,벽적골랜드공인중개사사무소,경기도 수원시 영통구 영통로290번길 26 ::: 벽적골1단지 나-101(영통동),임미화
가3682-850,삼성시티공인중개사사무소,경기도 수원시 영통구 신원로 287-1 1층 (매탄동),김옥경
가3682-715,부동산뉴스공인중개사사무소,경기도 수원시 영통구 산남로67번길 1 ::: 101호(매탄동),이상애
가3682-700,가교공인중개사사무소,경기도 수원시 영통구 매탄로 102 ::: 103호(매탄동::: 이삭프라자),유시현
가3682-684,명성공인중개사사무소,경기도 수원시 영통구 월드컵로179번길 18 ::: 1층(원천동),김황열
가3682-680,산남합동공인중개사사무소,경기도 수원시 영통구 매봉로27번길 52 ::: 1층 상가 남서쪽(매탄동),남창현
가3682-675,원천주공공인중개사사무소,경기도 수원시 영통구 중부대로271번길 11 103호 (원천동),김경열
가3682-659,청송공인중개사사무소,경기도 수원시 영통구 중부대로256번길 7 ::: 1층(매탄동),이성혜
가3682-63,정보월드공인중개사사무소,경기도 수원시 영통구 산남로 14 :::101호(매탄동),박춘숙
가3682-600,정토공인중개사사무소,경기도 수원시 영통구 동탄원천로1133번길 28-4 :::1층(원천동),이형석
가3682-547,부국공인중개사사무소,경기도 수원시 영통구 매탄로100번길 17 ::: 102호(매탄동::: 우영프라자),이정미
가3682-544,영흥공인중개사사무소,경기도 수원시 영통구 중부대로 604 ::: 123호(영통동),전인옥
가3682-537,정보센타공인중개사사무소,경기도 수원시 영통구 매영로 85 (매탄동),안미정
가3682-490,경희공인중개사사무소,경기도 수원시 영통구 영일로 9 ::: 1층 103호(영통동),김희수
가3682-450,디딤돌공인중개사사무소,경기도 수원시 영통구 월드컵로193번길 74 ::: 1층 101호(원천동),윤재춘
가3682-442,신화공인중개사사무소,경기도 수원시 영통구 중부대로246번길 27 ::: 1층(매탄동),한상인
가3682-434,산들공인중개사사무소,경기도 수원시 영통구 매탄로 184 ::: 1층(매탄동),김석식
가3682-412,시티공인중개사사무소,경기도 수원시 영통구 산남로 79 (매탄동),문점주
가3682-38,극동공인중개사사무소,경기도 수원시 영통구 영일로 7 ::: 102호(영통동),어경성
가3682-368,나이스공인중개사사무소,경기도 수원시 영통구 청명북로7번길 6 ::: 1층(영통동),김정연
가3682-361,대영공인중개사사무소,경기도 수원시 영통구 산남로21번길 2 :::1층(매탄동),이근숙
가3682-357,창성공인중개사사무소,경기도 수원시 영통구 인계로189번길 119-1 ::: 1층 1호(매탄동:::선교동상가),노병근
가3682-349,삼익공인중개사사무소,경기도 수원시 영통구 권광로260번길 36 ::: 상가1동 115호(매탄동::: 현대홈타운),주기복
가3682-302,아주공인중개사사무소,경기도 수원시 영통구 매여울로67번길 48 1층 (매탄동),윤종경
가3682-252,랜탑공인중개사사무소,경기도 수원시 영통구 매탄로 73 ::: 106호(매탄동),최현실
가3682-2045,미소공인중개사사무소,경기도 수원시 영통구 인계로270번길 22 :::1층(매탄동),박근향
가3682-2043,우리공인중개사사무소,경기도 수원시 영통구 에듀타운로 101 ::: 103동 102호(이의동::: 에듀하임1309),강은실
가3682-2042,광교에듀하임공인중개사사무소,경기도 수원시 영통구 에듀타운로 101 :::104동 107호(이의동:::에듀하임1309오피스텔),김인숙
가3682-2040,자연공인중개사사무소,경기도 수원시 영통구 월드컵로179번길 54 (원천동),황상도
가3682-2031,영통미래공인중개사사무소,경기도 수원시 영통구 권선로908번길 47 113-2호,이영옥
가3682-2013,조은 공인중개사사무소,경기도 수원시 영통구 신원로 291 ::: 101호(매탄동),이완제
가3682-1971,황골114공인중개사사무소,경기도 수원시 영통구 영통로 498 ::: 가상가 104호(영통동),박지애
가3682-1967,수변공인중개사사무소,경기도 수원시 영통구 권선로882번길 31-21 1층 일부 (신동),박영숙
가3682-1910,에듀하임1309공인중개사사무소,경기도 수원시 영통구 에듀타운로 101 ::: 102동 113호 (이의동::: 에듀하임1309오피스텔),김제덕
가3682-1900,광교월드마크공인중개사사무소,경기도 수원시 영통구 센트럴타운로 111 113호(이의동::: 광교서희스타힐스오피스텔),김수나
가3682-1897,천둥공인중개사사무소,경기도 수원시 영통구 삼성로 306 1층 일부,허인숙
가3682-1895,우리공인중개사사무소,경기도 수원시 영통구 중부대로448번길 96 102호 (원천동),고연경
가3682-1871,더타임공인중개사사무소,경기도 수원시 영통구 봉영로 1617 707호(영통동::: 훼미리타워),박찬경
가3682-1865,더큰행운공인중개사사무소,경기도 수원시 영통구 매여울로67번길 30 1층 일부(매탄동),민경현
가3682-1838,망포역참조은공인중개사사무소,경기도 수원시 영통구 영통로 232 상가2동 108호(영통동::: 두산.우성.한신아파트),이범석
가3682-1774,광교무지개 공인중개사사무소,경기도 수원시 영통구 법조로149번길 121 ::: 1층(하동),신혜숙
가3682-1766,믿음공인중개사사무소,경기도 수원시 영통구 매탄로140번길 54-2 ::: 1층(매탄동),권나영
